Business Name,Address,City,State,Zip Code,Full Address,Latitude,Longitude,Registered* Indoor (square feet),Registered* Outdoor (acres),Planted* Indoor (sqft),Planted* Outdoor (acres)
NY Hemp Source LLC - NOT VAILD AUTH #,"445 5th Avenue, Suite 9",New York,NY,13408,"445 5th Avenue, Suite 9 New York NY 13408 ",40.7515948,-73.9817548,,0.00,,
Hibernia Farm LLC,64 Middle Neck Road,Port Washington,NY,13408,64 Middle Neck Road Port Washington NY 13408 ,40.8499623,-73.6912139,,2.00,,
WhatCannaDo,P.O. Box 108,Gilbertsville,NY,13408,P.O. Box 108 Gilbertsville NY 13408 ,42.4714657,-75.3257290,,13.00,,
WhatCannaDo Affiliated Grower - Keith Klingman,284 Clarence Musson Road,Gilbertsville,NY,13408,284 Clarence Musson Road Gilbertsville NY 13408 ,42.4829830,-75.2965560,,4.00,,
Pleasant View Harvest LLC,4 West Wind Lane,Brewster,NY,13408,4 West Wind Lane Brewster NY 13408 ,41.3638444,-73.6016462,0.00,,"1,600.00",
Scotch Valley Ranch,476 Scotch Valley Ranch Road,Hobart,NY,13408,476 Scotch Valley Ranch Road Hobart NY 13408 ,42.3339487,-74.6425063,"56,770.00",30.00,,3.00
Michael I. Casper Inc.,429 Bostwick Road,Ithaca,NY,13408,429 Bostwick Road Ithaca NY 13408 ,42.4210617,-76.5628888,,12.00,950.00,0.00
Smith Murdock Company LLC,591 Jeffersonville North Branch Rd,North Branch,NY,13408,591 Jeffersonville North Branch Rd North Branch NY 13408 ,41.8016350,-74.9676889,,4.00,,
For the Birds Farm,5027 Waterburg Road,Trumansburg,NY,13408,5027 Waterburg Road Trumansburg NY 13408 ,42.5067900,-76.6760094,,1.00,,
NG Growers Inc. dba Nanticoke Gardens,1543 Union Center Maine Hwy,Endicott,NY,13408,1543 Union Center Maine Hwy Endicott NY 13408 ,42.1276226,-76.0660772,"114,000.00",50.00,"40,091.00",
Wheatfield Gardens LLC,7341 Shawnee Road,North Tonawanda,NY,13408,7341 Shawnee Road North Tonawanda NY 13408 ,43.0670990,-78.8309320,"662,600.00",,"294,511.00",
High Peaks Solar LLC,180 Main Avenue,Wynantskill,NY,13408,180 Main Avenue Wynantskill NY 13408 ,42.6943831,-73.6364661,,0.00,,
Berkshire Hemp LLC,7 Cunningham Hill Road,Canaan,NY,13408,7 Cunningham Hill Road Canaan NY 13408 ,42.3844424,-73.4144528,,38.00,,
Plant Science Laboratories Affiliated Grower - Don Spoth,2715 Tonawanda Creek,Amherst,NY,13408,2715 Tonawanda Creek Amherst NY 13408 ,43.0681581,-78.7496355,,60.00,,
New York Hemp Alliance,9 Mountain View Drive,Campbell Hall,NY,13408,9 Mountain View Drive Campbell Hall NY 13408 ,41.4175686,-74.2333165,"32,000.00",14.00,,
New York Hemp Alliance Affiliated Grower - Alps Farm,282 Eiklor Road,Candor,NY,13408,282 Eiklor Road Candor NY 13408 ,42.1773488,-76.3580166,,3.00,,
Tricolla Farms LLC,431 Back West Creek Road,Berkshire,NY,13408,431 Back West Creek Road Berkshire NY 13408 ,42.2477908,-76.2414472,"18,000.00",11.00,,1.00
Plant Science Laboratories Affiliated Grower - Rural Resurgence,8501 Maples Rd,Little Valley,NY,13408,8501 Maples Rd Little Valley NY 13408 ,42.3496550,-78.7922891,,10.00,,
Chessworth Farms,23499 Swan Road,Watertown,NY,13408,23499 Swan Road Watertown NY 13408 ,43.9250339,-75.9040610,,27.00,,
Meadeville Farm,864 Gravel Road,Seneca Falls,NY,13408,864 Gravel Road Seneca Falls NY 13408 ,42.9845782,-76.8016056,,2.00,,
Traitz Agriculture LLC,578 Stony Creek Road,Hadley,NY,13408,578 Stony Creek Road Hadley NY 13408 ,43.3508447,-73.8737217,,105.00,,
US Hempire Corp,26 Oil City Road,Pine Island,NY,13408,26 Oil City Road Pine Island NY 13408 ,41.2814056,-74.5143080,,5.00,,3.00
HempChain Farms LLC,475 Green Hollow Road,Berlin,NY,13408,475 Green Hollow Road Berlin NY 13408 ,42.7077860,-73.3399120,"22,000.00",48.00,"15,000.00",
Plant Science Laboratories Affiliated Grower - Yager Farm,2132 New Jerusalem Rd,Eden,NY,13408,2132 New Jerusalem Rd Eden NY 13408 ,42.6381241,-78.9351222,,28.00,,
Coryell Farms,1450 Coryell Road,Nichols,NY,13408,1450 Coryell Road Nichols NY 13408 ,42.0164140,-76.4135010,"3,000.00",7.00,,
Landline Farm,990 Thatcher Park Road,East Berne,NY,13408,990 Thatcher Park Road East Berne NY 13408 ,42.6520880,-74.0302610,100.00,,,
Lisa & Brandon Kapoor,920 Edie Road,Argyle,NY,13408,920 Edie Road Argyle NY 13408 ,43.1578850,-73.4898560,"1,675.00",7.00,"43,560.00",1.25
The Veterans Cannabis Collective Foundation Inc.,1053 County Route 6,Fulton,NY,13408,1053 County Route 6 Fulton NY 13408 ,43.3163647,-76.3554991,"10,760.00",30.00,,
VCCF Affiliated Grower Creekside Cattle Company,22 Gibson Street,Bergen,NY,13408,22 Gibson Street Bergen NY 13408 ,43.0877009,-77.9452868,,0.00,,
Fenco Hemp LLC,6238 Route 96,Romulus,NY,13408,6238 Route 96 Romulus NY 13408 ,42.7219771,-76.8265480,,25.00,,
dba Sullivan County Organics,131 William Brown Road,Hankins,NY,13408,131 William Brown Road Hankins NY 13408 ,41.8439666,-75.0651529,"8,280.00",0.00,,
Kobylin Co.,756 Canaan Road,Canaan,NY,13408,756 Canaan Road Canaan NY 13408 ,42.4523760,-73.4159800,"3,600.00",17.00,,
Empire Hemp Company (DBA),16271 Canal Road,Holley,NY,13408,16271 Canal Road Holley NY 13408 ,43.2547830,-78.0672920,500.00,,,
Homestead Hemp,821 Chamberlain Mill Road,Salem,NY,13408,821 Chamberlain Mill Road Salem NY 13408 ,43.2550980,-73.3189406,"2,010.00",5.00,,0.00
FarmOn! Foundation,556 Empire Road,Copake,NY,13408,556 Empire Road Copake NY 13408 ,42.0984775,-73.5523501,,190.00,"9,000.00",8.00
PhytoGene Bioscience LLC,2296 Sound Avenue,Calverton,NY,13408,2296 Sound Avenue Calverton NY 13408 ,40.9564487,-72.7480215,"45,000.00",100.00,,
Open Minded Organics LLC,PO Box 302,Sag Harbor,NY,13408,PO Box 302 Sag Harbor NY 13408 ,40.9978773,-72.2925819,"7,102.00",18.00,108.00,2.54
Clements Agricultural Research Institute,"912 Main Street, P.O. Box 213",Morristown,NY,13408,"912 Main Street, P.O. Box 213 Morristown NY 13408 ",44.5864488,-75.6482908,,30.00,,
Vincek Farm,23 Daniels Road,Saratoga Springs,NY,13408,23 Daniels Road Saratoga Springs NY 13408 ,43.1119586,-73.7741927,"2,000.00",0.00,0.00,0.14
HR Botanicals LLC,298 Basket Road,Long Eddy,NY,13408,298 Basket Road Long Eddy NY 13408 ,41.8687400,-75.0787180,,0.00,,0.20
PhytoGene Bioscience LLC Aﬃliated Grower - Wessels Farms,94 Bull Road,Otisville,NY,13408,94 Bull Road Otisville NY 13408 ,41.4790459,-74.5177960,"44,000.00",,,
Rick Minkus Farms Inc.,101 Celery Avenue,New Hampton,NY,13408,101 Celery Avenue New Hampton NY 13408 ,41.3668792,-74.4196322,,,,
PhytoGene Bioscience LLC Aﬃliated Grower - Minkus Family Farms,317 Maple Ave,New Hampton,NY,13408,317 Maple Ave New Hampton NY 13408 ,41.3785029,-74.4083181,,0.00,,
Green Wells Venture LLC,808 Brickell Key Drive #701,Miami,FL,13408,808 Brickell Key Drive #701 Miami FL 13408 ,25.7690258,-80.1835969,,90.00,,69.00
1776 Hemp LLC,391 County Road 106,Johnstown,NY,13408,391 County Road 106 Johnstown NY 13408 ,43.0344530,-74.2447660,,18.00,,
Jone Z Farms LLC,5020 Foster Road,Canandaigua,NY,13408,5020 Foster Road Canandaigua NY 13408 ,42.8174847,-77.2895626,"22,600.00",46.00,500.00,22.58
Ronald J Sherman,2171 State Route 417,Greenwood,NY,13408,2171 State Route 417 Greenwood NY 13408 ,42.1205152,-77.6069137,,4.00,,
Dean Ford & Sons Dairy Farm,284 Hortons Road,Westtown,NY,13408,284 Hortons Road Westtown NY 13408 ,41.3506678,-74.5140163,,0.00,,
GoPap Synthesis,"169 Milbank Ave, Unit West",Greenwich,CT,13408,"169 Milbank Ave, Unit West Greenwich CT 13408 ",41.0290820,-73.6215272,,,,
Michael Geraci,6560 Wetherole Street,Rego Park,NY,13408,6560 Wetherole Street Rego Park NY 13408 ,40.7259154,-73.8584558,,29.00,,
Grow Hemp New York LLC Aﬃliated Grower - Julie Ann's Vegetable and Honey Farm LLC,89 Frost Road,Windsor,NY,13408,89 Frost Road Windsor NY 13408 ,42.0873070,-75.7698640,,0.00,,
High End Group Affiliated Grower - Ithaca Organics,316 Cortland Road,Freeville,NY,13408,316 Cortland Road Freeville NY 13408 ,42.5209794,-76.2788135,,0.00,,
High End Group Affiliated Grower - Full Spectrum Farm,236 Fish Road,Ithaca,NY,13408,236 Fish Road Ithaca NY 13408 ,42.4406630,-76.6504080,,2.00,,
Hemp Productions Inc.,884-886 Noxon Road,Poughkeepsie,NY,13408,884-886 Noxon Road Poughkeepsie NY 13408 ,41.6398935,-73.8067069,"20,000.00",435.00,,95.00
High Falls Agriculture LLC,641 Berme Road,High Falls,NY,13408,641 Berme Road High Falls NY 13408 ,41.8044344,-74.1682869,"4,000.00",13.00,0.00,2.05
Old Mud Creek Farm LLC Affiliated Grower - Stone House Grain,3161 US Route 9,Hudson,NY,13408,3161 US Route 9 Hudson NY 13408 ,42.1612396,-73.7708144,,49.00,,24.00
High Falls Agriculture LLC Affiliated Grower - Veronica's Gardens,110 Kripple Bush Road,Stone Ridge,NY,13408,110 Kripple Bush Road Stone Ridge NY 13408 ,41.8374303,-74.1871263,0.00,,,
Southern Tier Hemp,333 West Washington Street Suite 600,Syracuse,NY,13408,333 West Washington Street Suite 600 Syracuse NY 13408 ,43.0493900,-76.1559843,,0.00,,
High Falls Agriculture LLC Affiliated Grower - All Hat No Cattle Ranch,6734 Route 209,Kerhonkson,NY,13408,6734 Route 209 Kerhonkson NY 13408 ,41.7706705,-74.3315183,,0.00,,
High Falls Agriculture LLC Affiliated Grower - George (Skip) Larrabbee,447 Pine Bush Road,Stone Ridge,NY,13408,447 Pine Bush Road Stone Ridge NY 13408 ,41.8374728,-74.1790198,,4.00,,
High Falls Agriculture LLC Affiliated Grower - Patricia A Horst,641 Berme Road,High Falls,NY,13408,641 Berme Road High Falls NY 13408 ,41.8044344,-74.1682869,,0.00,,
Healthy Farms LLC,68 Lake Road,Webster,NY,13408,68 Lake Road Webster NY 13408 ,43.2357188,-77.5311426,,5.00,,
Full Spectrum Extract LLC,195 Broadway Third Floor,Brooklyn,NY,13408,195 Broadway Third Floor Brooklyn NY 13408 ,40.7107732,-74.0095804,,,,
Clearbrook Farm of Orange County LLC,1345 6th Avenue,New York,NY,13408,1345 6th Avenue New York NY 13408 ,40.7627783,-73.9785292,"110,000.00",2.00,"85,500.00",
Spadafarm,12 Alley Road,Lagrangeville,NY,13408,12 Alley Road Lagrangeville NY 13408 ,41.6657348,-73.7662367,"80,000.00",12.00,,
Southern Tier Hemp Affiliated Grower - Lake Breeze Farms LLC,PO Box 123,Cato,NY,13408,PO Box 123 Cato NY 13408 ,42.9026924,-75.6440842,,80.00,,
NY Hemp Source LLC Affiliated Grower - S&SO Produce Farms LLC,234 Mt. Eve Road,Goshen,NY,13408,234 Mt. Eve Road Goshen NY 13408 ,41.3162042,-74.4145707,,21.00,,
SunBeam Laboratories LLC,6150 Donner Road,Lockport,NY,13408,6150 Donner Road Lockport NY 13408 ,43.1229855,-78.6996098,"29,024.00",1.00,,
Ringhoff Farms,County Road 51 and County Road 111,Eastport,NY,13408,County Road 51 and County Road 111 Eastport NY 13408 ,40.8467418,-72.7349639,,,,
High End Group Affiliated Grower - Jacob McGlashon,210 Ketchumville Road,Berkshire,NY,13408,210 Ketchumville Road Berkshire NY 13408 ,42.2714960,-76.1509380,,5.00,,
High End Group Affiliated Grower - Shining Star Farm,463 Valley Road,Brooktondale,NY,13408,463 Valley Road Brooktondale NY 13408 ,42.3795294,-76.3995055,,4.00,,
Denice Davis LLC,158 Pulaski Highway,Pine Island,NY,13408,158 Pulaski Highway Pine Island NY 13408 ,41.3023059,-74.4495859,,1.00,,0.00
Cornell University Affiliated Grower - John Henion,435 Iradell Road,Trumansburg,NY,13408,435 Iradell Road Trumansburg NY 13408 ,42.4798889,-76.6268970,,0.00,,
NY Hemp Source LLC,"445 5th Avenue, Suite 9",New York,NY,13408,"445 5th Avenue, Suite 9 New York NY 13408 ",40.7515948,-73.9817548,,98.00,,
High End Group Affiliated Grower - Castetter Sustainability Group Inc.,120 Hawley Street,Binghamton,NY,13408,120 Hawley Street Binghamton NY 13408 ,42.0976132,-75.9079893,,0.00,,
